🇨🇳卫视频道,#genre#
北京卫视,http://61.49.105.238:8888/newlive/live/hls/19/live.m3u8
北京影视,http://61.49.105.238:8888/newlive/live/hls/42/live.m3u8
纪实科教,http://61.49.105.238:8888/newlive/live/hls/43/live.m3u8
北京生活,http://61.49.105.238:8888/newlive/live/hls/44/live.m3u8
北京财经,http://61.49.105.238:8888/newlive/live/hls/45/live.m3u8
北京文艺,http://61.49.105.238:8888/newlive/live/hls/46/live.m3u8
卡酷少儿,http://61.49.105.238:8888/newlive/live/hls/47/live.m3u8
卡酷少儿,http://121.15.212.66:8888/newlive/live/hls/47/live.m3u8
北京国际,http://61.49.105.238:8888/newlive/live/hls/48/live.m3u8


🇨🇳央视频道,#genre#
CCTV1,http://61.49.105.238:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://61.49.105.238:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://61.49.105.238:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://61.49.105.238:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://61.49.105.238:8888/newlive/live/hls/6/live.m3u8
体育赛事,http://61.49.105.238:8888/newlive/live/hls/7/live.m3u8
CCTV6,http://61.49.105.238:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://61.49.105.238:8888/newlive/live/hls/9/live.m3u8
CCTV7,http://121.15.212.66:8888/newlive/live/hls/6/live.m3u8
CCTV8,http://61.49.105.238:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://61.49.105.238:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://61.49.105.238:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://61.49.105.238:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://61.49.105.238:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://61.49.105.238:8888/newlive/live/hls/15/live.m3u8
CCTV14,http://61.49.105.238:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://61.49.105.238:8888/newlive/live/hls/17/live.m3u8
CGTN,http://61.49.105.238:8888/newlive/live/hls/18/live.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC动作电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC动作电影,http://58.19.13.92:9901/tsfile/live/1037_1.m3u8
CHC家庭影院,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC高清电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?$3M1280x720
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰资讯,https://0472.org/hls/youzaiSB/fhzx.m3u8
凤凰中文,https://0472.org/hls/youzaiSB/fhzw.m3u8
凤凰香港,https://0472.org/hls/youzaiSB/fhhk.m3u8

NewTV直播,#genre#
NewTV超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTV惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
NewTV武搏世界,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw1556325430_664703954/ott.mobaibox.com/PLTV/3/224/3221227533/index.m3u8?icpid=3&RTS=1674385966&from=40&popid=40&hms_devid=2113&prioritypopid=40&vqe=3
NewTV炫舞未来,http://[2409:8087:2001:20:2800:0:df6e:eb08]:80/wh7f454c46tw519702850_-1512208436/ott.mobaibox.com/PLTV/3/224/3221227475/index.m3u8?icpid=3&RTS=1674380635&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
NewTV爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTV精品萌宠,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
NewTV金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTV金牌综艺,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw2614190807_1624483481/ott.mobaibox.com/PLTV/3/224/3221227541/index.m3u8?icpid=3&RTS=1674387024&from=40&popid=40&hms_devid=2113&prioritypopid=40&vqe=3

电影联通线路,#genre#

华语经典,http://epg.112114.xyz/douyu/434971
华语电影,http://epg.112114.xyz/douyu/3928
吃米滴虫,http://epg.112114.xyz/douyu/315457
神乐华语,http://epg.112114.xyz/douyu/85894
吃奶滴虫,http://epg.112114.xyz/douyu/263824
特辑影院,http://epg.112114.xyz/douyu/3637778
贝爷MAX厅,http://epg.112114.xyz/douyu/4332
漫威影片,http://epg.112114.xyz/douyu/6140589
周星驰电影,http://epg.112114.xyz/douyu/122402
刘德华电影1,http://epg.112114.xyz/douyu/2516864
豆瓣高分,http://epg.112114.xyz/douyu/8770422
经典武侠,http://epg.112114.xyz/douyu/4246519
那些年的经典,http://epg.112114.xyz/douyu/1274132
林正英电影1,http://epg.112114.xyz/douyu/218859
林正英电影2,http://epg.112114.xyz/douyu/7356023
女神金电影,http://epg.112114.xyz/douyu/747764
贝爷影厅1,http://epg.112114.xyz/douyu/252802
贝爷影厅2,http://epg.112114.xyz/douyu/36337
电影欧美,http://epg.112114.xyz/douyu/20415
冰冰经典电影,http://epg.112114.xyz/douyu/74374
林林影院,http://epg.112114.xyz/douyu/9826611
恐怖经典,http://epg.112114.xyz/douyu/1165374
变种人电影,http://epg.112114.xyz/douyu/9651304
麓山迷踪,http://epg.112114.xyz/douyu/4505431
欧美大片,http://epg.112114.xyz/douyu/2793084
小宇60帧,http://epg.112114.xyz/douyu/323876
4K HDR,http://epg.112114.xyz/douyu/9249162
喜剧电影专场,http://epg.112114.xyz/douyu/9292492
恐怖影片,http://43.138.170.29:35455/huya/11602075
師落,http://epg.112114.xyz/douyu/6582435
赵本山小品,http://epg.112114.xyz/douyu/9817716
宋小宝小品,http://epg.112114.xyz/douyu/9817729
经典小品,http://epg.112114.xyz/douyu/9067836
情景喜剧,http://epg.112114.xyz/douyu/3980787
经典电视剧,http://epg.112114.xyz/douyu/7459925
连续剧1,http://epg.112114.xyz/douyu/4549169
连续剧2,http://epg.112114.xyz/douyu/7623292
连续剧3,http://epg.112114.xyz/douyu/7476264
看剧,http://epg.112114.xyz/douyu/431460
武侠剧,http://epg.112114.xyz/douyu/7655471

海外频道,#genre#

中国环球电视,http://live.cgtn.com/500/prog_index.m3u8
俄罗斯,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
俄罗斯,https://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/mono.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
华盛顿DC,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
华盛顿DC,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
华盛顿DC,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛电视台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
新加坡,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
EZTV2,http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
EZTV6,http://vvlive.eztv.vip:80/huawen6/huawen6.m3u8?auth_key=1660814676-0-0-4d45d97f017e545dd368719f8dd48ffe
EZTV1,http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
CGTN,http://live.cgtn.com/1000/prog_index.m3u8?zshijd
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
MyTime movie,https://mytime-tcl.amagi.tv/playlist1080-p.m3u8?blog.ntnas.to
MyTime movie,https://mytime-tcl.amagi.tv/playlist1080-p.m3u8?blog.ntnas.top
埃及 Mokameleen TV,http://mn-nl.mncdn.com/mekameleen/smil:mekameleentv.smil/chunklist_b1864000.m3u8?v=787761179
